RT Ponting
JPR Scantlebury-Searles
Abhishek Sharma
IS Sodhi
SO Hetmyer
S Dube
NA Saini
JM Bairstow
Rasikh Salam
KMA Paul
N Pooran
P Ray Barman
S Lamichhane
SM Curran
GC Viljoen
Avesh Khan
HF Gurney
SD Lad
AS Joseph
MJ Santner
R Parag
JL Denly
LS Livingstone
KK Ahmed
AJ Turner
SE Rutherford
Harpreet Brar
Y Prithvi Raj
P Simran Singh
JL Pattinson
A Nortje
T Banton
D Padikkal
YBK Jaiswal
RD Gaikwad
TU Deshpande
Abdul Samad
PK Garg
JR Philippe
Kartik Tyagi
CV Varun
KL Nagarkoti
I Udana
Ravi Bishnoi
Shahbaz Ahmed
AT Carey
N Jagadeesan
T Natarajan
P Dubey
SS Cottrell
Arshdeep Singh
DR Sams
